Date,Site.Name,CATCH_ID,DESCRIPTIO,Trust,Upcatch_km,Water_W,Area,Action
10/08/2002,8876,81,River Shin at mouth,Kyle of Sutherland,507.985,21.578274,100,Exclude
10/08/2002,8877,81,River Shin at mouth,Kyle of Sutherland,503.02,16.764436,100,Exclude
10/09/2002,8923,81,River Shin at mouth,Kyle of Sutherland,557.0625,15.969369,100,Exclude
10/09/2002,8924,81,River Shin at mouth,Kyle of Sutherland,509.04,22.169304,100,Exclude
10/10/2002,8937,81,River Shin at mouth,Kyle of Sutherland,569.1575,24.811174,100,Exclude
10/10/2002,8938,81,River Shin at mouth,Kyle of Sutherland,509.795,30.53,100,Exclude
11/10/2002,8939,81,River Shin at mouth,Kyle of Sutherland,582.9075,17.333838,100,Exclude
11/10/2002,8940,81,River Shin at mouth,Kyle of Sutherland,575.7675,26.837724,100,Exclude
01/10/2007,9193,81,River Shin at mouth,Kyle of Sutherland,507.985,21.578274,100,Exclude
01/10/2007,9194,81,River Shin at mouth,Kyle of Sutherland,503.02,16.764436,100,Exclude
02/10/2007,9195,81,River Shin at mouth,Kyle of Sutherland,557.0625,15.969369,100,Exclude
02/10/2007,9196,81,River Shin at mouth,Kyle of Sutherland,509.795,30.53,100,Exclude
02/10/2007,9197,81,River Shin at mouth,Kyle of Sutherland,509.04,22.169304,100,Exclude
03/10/2007,9199,81,River Shin at mouth,Kyle of Sutherland,569.1575,24.811174,100,Exclude
03/10/2007,9200,81,River Shin at mouth,Kyle of Sutherland,575.7675,26.837724,100,Exclude
04/10/2007,9201,81,River Shin at mouth,Kyle of Sutherland,582.9075,17.333838,100,Exclude
25/06/2002,13882,336,Whiteadder Water at mouth,Tweed,501.32,14.349634,211.33,OK
25/06/2002,13883,336,Whiteadder Water at mouth,Tweed,532.255,18.806869,323.02,OK
03/08/2005,14107,336,Whiteadder Water at mouth,Tweed,501.32,14.349634,220.42,OK
03/08/2005,14108,336,Whiteadder Water at mouth,Tweed,532.255,18.806869,315.58,OK
29/06/2000,14771,336,Whiteadder Water at mouth,Tweed,501.32,14.349634,240.5,OK
29/06/2000,14772,336,Whiteadder Water at mouth,Tweed,532.255,18.806869,328.29,OK
