"","Site_OBJECTID","Site.Name","Dataset","NEAR_X","NEAR_Y"
"1",2079,"ACHRIDIGILL","fobs",288767.123,962795.6428
"7",2931,"Adielinn Burn 1","fobs",335397.7865,771511.3446
"8",2245,"AE LOWER","fobs",299707.3538,588545.4152
"10",2235,"AE UPPER","fobs",299225.2121,588706.6042
"102",2305,"ALLT A CHOIRE DHUIBH","fobs",303019.2003,808070.4006
"107",2022,"ALLT A MHARCAIDH LOWER","fobs",285516.9088,803628.3767
"133",2053,"ALLT A MHARCAIDH MIDDLE","fobs",287073.8457,804906.6734
"159",2055,"ALLT A MHARCAIDH UPPER","fobs",287104.2533,805203.4356
"177",2304,"ALLT BHEADHAIR","fobs",303018.0464,812204.9518
"180",2031,"ALLT COIRE CHAOIL","fobs",285821.3376,793422.4739
"182",222,"ALLT COIRE DUBH","fobs",182296.3628,765242.2495
"184",2837,"ALLT DARRARIE","fobs",330959.0004,785824.0022
"185",2033,"ALLT FHEARNAGAN","fobs",286126.8459,797182.2308
"191",2052,"ALLT FHEARNAGAN MIDDLE","fobs",287016.8757,797278.2718
"192",2296,"ALLT FIONNA CHOIRE","fobs",302591.4537,811831.4014
"198",1864,"ALLT MOR","fobs",274335.6594,804014.2841
"199",157,"ALLT NA COIRE NAN CON LOWER","fobs",179075.1772,768669.6182
"225",168,"ALLT NA COIRE NAN CON MIDDLE","fobs",179341.2487,768899.1965
"244",171,"ALLT NA COIRE NAN CON UPPER","fobs",179462.3241,769010.4679
"270",421,"ALLT NA DOIRE-DARAIC","fobs",200429.9387,862459.1359
"273",1062,"ALLT NA GRAIDHE","fobs",234326.854,807134.5984
"279",858,"ALLT NA UAMH LOWER","fobs",225483.156,917887.302
"282",864,"ALLT NA UAMH UPPER","fobs",225773.6826,917753.8532
"285",1097,"ALLT RIABHACH MOR LOWER","fobs",235309.6648,754258.9737
"287",1113,"ALLT RIABHACH MOR MIDDLE","fobs",235592.6408,754777.8499
"301",1117,"ALLT RIABHACH MOR UPPER","fobs",235776.848,755412.4354
"303",1159,"ALLT RIABHACH NA BIORAICH","fobs",237071.0003,755537
"314",2018,"ALLT RUADH MIDDLE","fobs",285130.2451,801217.9228
"315",3362,"Aven","fobs",363619.4432,791598.8217
"316",2511,"BADDOCH","fobs",313354.0002,783163.002
"318",2507,"BAD_Low","fobs",312908.6218,782478.8902
"326",2505,"BAD_Mid","fobs",312869.7155,781888.2032
"334",2494,"BAD_Upp","fobs",312365.9999,781225
"342",1642,"BARLAY","fobs",259864.1145,557912.1555
"347",1642,"BARLEY BURN","fobs",259864.1145,557912.1555
"398",3324,"Beltie 4","fobs",360693.1013,802897.7003
"456",1574,"BENMEAL","fobs",256014.2002,566331.3999
"457",2701,"BLACK BURN CONT","fobs",323914.9996,592972.0013
"462",2700,"BLACK BURN EXPT","fobs",323902.0777,593001.3851
"467",1357,"BLACK LAGGAN","fobs",246808.9988,578145.0007
"516",3247,"BP Burn 1","fobs",354159.2256,758509.9403
"517",2238,"BRERACHAN WATER","fobs",299391.6425,762923.9576
"518",2221,"BRERACHAN WATER BRIDGE SITE","fobs",298512.1372,763476.0813
"519",2225,"BRERACHAN WATER FOREST SITE","fobs",298599.6482,763161.3704
"520",2252,"BRERACHAN WATER LOWER","fobs",300311.6967,763385.061
"521",2233,"BRERACHAN WATER MIDDLE","fobs",299094.7846,762801.5151
"522",2237,"BRERACHAN WATER SHEEP FANK","fobs",299389.1398,762922.6631
"523",2218,"BRERACHAN WATER UPPER","fobs",298475.0766,763964.97
"524",1224,"BURN 1","fobs",239805.2533,707100.1221
"535",1256,"BURN 13","fobs",242621.8001,705034.3998
"545",1248,"BURN 14","fobs",241786.4799,706842.9058
"552",1261,"BURN 15","fobs",242726.7819,704934.2838
"560",1215,"BURN 2","fobs",239393.4905,706898.7169
"584",1212,"BURN 2 NEW","fobs",239350.755,706971.2763
"587",1287,"BURN 5","fobs",244034.1361,699657.9854
"604",1284,"BURN 5 NEW","fobs",243889.9996,699629.9998
"608",1289,"BURN 6","fobs",244148.6651,699382.4107
"632",1291,"BURN 6 NEW","fobs",244170.3082,699445.4612
"676",2806,"Burn of Farchal 1","fobs",328812.6924,768113.4619
"677",2548,"BURN OF THE YELLOW BOG","fobs",315135.3965,848731.4967
"678",2260,"Bynack","fobs",300546.0765,786558.0737
"679",2558,"CALLATER","fobs",316258.0515,786896.3553
"681",2559,"Callater 2","fobs",316295.3502,786207.9318
"682",1540,"CARDOON BURN","fobs",254566.1131,565718.3962
"686",1507,"CARROUCH BURN","fobs",253285.2,567155.5997
