"Model","d.f.","BIC"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage",51,"0.00"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + day of year + s(day of year):life-stage + altitude:life-stage",51,"0.02"
"organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage",51,"2.35"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage",51,"2.35"
"life-stage + organisation + year + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage",51,"2.35"
"life-stage + organisation + year + pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage",50,"2.79"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage + day of year:life-stage",51,"3.49"
"organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage",49,"3.92"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage",49,"3.92"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + altitude:life-stage",49,"3.92"
"life-stage + organisation + year + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage",49,"3.92"
"life-stage + organisation + year + pass + life-stage:pass + width + distance to sea + s(day of year):life-stage + altitude:life-stage",51,"4.07"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:pass + altitude:life-stage",50,"4.72"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + day of year + s(day of year) + s(day of year):life-stage + altitude:life-stage",49,"4.75"
"life-stage + organisation + year + pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage",48,"5.13"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:pass + altitude:life-stage",52,"5.46"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year):life-stage + altitude:life-stage",52,"5.58"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage",52,"5.58"
"life-stage + organisation + year + pass + life-stage:pass + width + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage",49,"5.99"
"life-stage + organisation + year + pass + life-stage:pass + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage",50,"6.27"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + urban + s(day of year) + s(day of year):life-stage + altitude:life-stage",50,"6.42"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage + day of year:life-stage",50,"6.82"
"organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage",50,"6.98"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + day of year + s(day of year) + altitude:life-stage",50,"7.05"
"life-stage + organisation + year + pass + life-stage:pass + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage",48,"7.10"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(day of year) + altitude:life-stage",50,"7.59"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + gradient + s(day of year):life-stage + altitude:life-stage",52,"8.34"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + urban + s(day of year):life-stage + altitude:life-stage",52,"8.35"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage",50,"8.55"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year)",50,"9.10"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + s(day of year):life-stage + altitude:life-stage",50,"9.10"
"life-stage + organisation + year + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage",50,"9.10"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(altitude) + s(day of year):life-stage + altitude:life-stage",52,"9.41"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage + day of year:life-stage",51,"9.52"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage + distance to sea:life-stage",50,"9.82"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + gradient + s(day of year) + s(day of year):life-stage + altitude:life-stage",50,"9.92"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(width) + s(day of year):life-stage + altitude:life-stage",52,"10.11"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + upstream catchment area + s(day of year) + s(day of year):life-stage + altitude:life-stage",50,"10.17"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + width:life-stage + altitude:life-stage",52,"10.19"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + width:pass + altitude:life-stage",52,"10.32"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage + day of year:pass",50,"10.37"
"life-stage + organisation + year + pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage",49,"10.45"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(urban) + s(day of year):life-stage + altitude:life-stage",53,"10.56"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage + day of year:pass",52,"10.67"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + marsh + s(day of year):life-stage + altitude:life-stage",52,"10.82"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + upstream catchment area + s(day of year):life-stage + altitude:life-stage",52,"10.87"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(altitude) + s(day of year) + s(day of year):life-stage + altitude:life-stage",50,"11.02"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + woodland + s(day of year):life-stage + altitude:life-stage",52,"11.18"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage",48,"11.28"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage",48,"11.28"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + other + s(day of year):life-stage + altitude:life-stage",52,"11.29"
"life-stage + organisation + year + pass + life-stage:pass + width + distance to sea + s(day of year) + altitude:life-stage",50,"11.36"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage + distance to sea:life-stage",52,"11.38"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage + distance to sea:pass",52,"11.53"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(width) + s(day of year) + s(day of year):life-stage + altitude:life-stage",50,"11.61"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + width:life-stage + altitude:life-stage",50,"11.78"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + width:pass + altitude:life-stage",50,"11.84"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + s(day of year):life-stage + altitude:life-stage",51,"11.91"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + marsh + s(day of year) + s(day of year):life-stage + altitude:life-stage",50,"12.34"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(upstream catchment area) + s(day of year):life-stage + altitude:life-stage",53,"12.36"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(urban) + s(day of year) + s(day of year):life-stage + altitude:life-stage",51,"12.57"
"life-stage + organisation + year + pass + life-stage:pass + altitude + distance to sea + s(day of year) + altitude:life-stage",49,"12.58"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + woodland + s(day of year) + s(day of year):life-stage + altitude:life-stage",50,"12.68"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + other + s(day of year) + s(day of year):life-stage + altitude:life-stage",50,"12.87"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage + urban:pass",53,"12.96"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:pass + altitude:life-stage",51,"13.13"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage + distance to sea:pass",50,"13.16"
